hymn	author	composer
1	George W. Frazer	John Zundel
2		Felice de Giardini
3	Reginald Heber	John B. Dykes
4		
5	Terrye Coelho	Terrye Coelho
6	Thomas Ken	From Genevan Psalter, 1551
7	Mrs. M. J. Harris	Mrs. M. J. Harris
8	Stuart K. Hine	Arr. by Stuart K. Hine
9	Donna Adkins	Donna Adkins
10	Ann Taylor Gilbert	
11	F. M. Lehman	F. M. Lehman
12	Horatius Bonar	From Hymns of Worship and Remembrance
13	Robert Boswell	James McGranahan
14	Isaac Watts	Lowell Mason
15	Horatius Bonar	Isaac Smith
16	James G. Deck	Philip P. Bliss
17	Frederick W. Faber	James Turle
18	Frederick W. Faber	Lizzie S. Tourjée
19	Jimmy Owens	Jimmy Owens
20	Chinese, tr. by Francis P. Jones	John Hughes
21	Edith McNeill	Edith McNeill
22	Thomas O. Chisholm	William M. Runyan
23	William P. Mackay	John J. Husband
24	Fanny J. Crosby	William H. Doane
25	S. Trevor Francis	S. Trevor Francis
26	P. Van den Berg, fr. Dutch	Henry T. Smart
27	James G. Deck	Franz Joseph Haydn
28	Fanny J. Crosby	William J. Kirkpatrick
29	R. S. Hawker	
30	Miss C. Thompson	Henry T. Smart
31	Mary Bowley Peters	J. C. Trench
32	J. N. Darby	John Stevenson
33	Henry Van Dyke	Ludwig van Beethoven
34	A. Carruthers	Alexander C. Ewing
35		Charles H. Purday
36	Robert Allen	Frederick C. Atkinson
37	W. B. Dick	Ira D. Sankey
38	German, tr. by A. Becker	Ira D. Sankey
39	B. G. Hardingham	John B. Dykes
40	Joseph Addison	Franz Joseph Haydn
41	Walter Chalmers Smith	Welsh Hymn Melody
42	Josiah Conder	W. Wilson
43	†	I. E. Rummery
44	F. Allaben	C. & F. Jouard
45	†	
46	C. M. Noel	William H. Monk
47	M. E. Barber	C. & F. Jouard
48	Song of Songs	A. Cadman
49	W. C. Martin	Edmund S. Lorenz
50	W. Yerbury	Greek Melody
51	W. H. Clark	Arr. by William J. Kirkpatrick
52		Arr. by Margaret Evans
53	Isaac Watts	John Darwall
54	Nalda Hearn	Nalda Hearn
