n1	n2	n3	zh1	zh2	zh3	en1	en2	en3
1	1		讚美和敬拜	三一神		Praise and Worship	The Trinity	
1	2	1	讚美和敬拜	聖父	祂的偉大	Praise and Worship	The Father	His Greatness
1	2	2	讚美和敬拜	聖父	祂的榮耀	Praise and Worship	The Father	His Glory
1	2	3	讚美和敬拜	聖父	祂的尊貴	Praise and Worship	The Father	His Majesty
1	2	4	讚美和敬拜	聖父	祂的憐憫	Praise and Worship	The Father	His Mercy
1	2	5	讚美和敬拜	聖父	祂的愛	Praise and Worship	The Father	His Love
1	2	6	讚美和敬拜	聖父	祂的信實	Praise and Worship	The Father	His Faithfulness
1	2	7	讚美和敬拜	聖父	祂的救贖	Praise and Worship	The Father	His Redemption
1	2	8	讚美和敬拜	聖父	祂的兒子名分	Praise and Worship	The Father	His Sonship
1	2	9	讚美和敬拜	聖父	呼叫阿爸	Praise and Worship	The Father	Crying Abba
1	3	1	讚美和敬拜	聖子	祂的神性	Praise and Worship	The Son, His Person and Work	His Divinity
1	3	2	讚美和敬拜	聖子	祂的人性	Praise and Worship	The Son, His Person and Work	His Humanity
1	3	3	讚美和敬拜	聖子	祂的名	Praise and Worship	The Son, His Person and Work	His Name
1	3	4	讚美和敬拜	聖子	祂的道成肉身	Praise and Worship	The Son, His Person and Work	His Incarnation
1	3	5	讚美和敬拜	聖子	祂的一生	Praise and Worship	The Son, His Person and Work	His Life
1	3	6	讚美和敬拜	聖子	祂的受苦	Praise and Worship	The Son, His Person and Work	His Suffering
1	3	7	讚美和敬拜	聖子	祂的受死	Praise and Worship	The Son, His Person and Work	His Death
1	3	8	讚美和敬拜	聖子	祂的救贖	Praise and Worship	The Son, His Person and Work	His Redemption
1	3	9	讚美和敬拜	聖子	祂的復活	Praise and Worship	The Son, His Person and Work	His Resurrection
1	3	10	讚美和敬拜	聖子	祂的得勝	Praise and Worship	The Son, His Person and Work	His Victory
1	3	11	讚美和敬拜	聖子	祂的被高舉	Praise and Worship	The Son, His Person and Work	His Exaltation
1	3	12	讚美和敬拜	聖子	祂的榮耀	Praise and Worship	The Son, His Person and Work	His Glory
1	3	13	讚美和敬拜	聖子	祂的為主尊貴	Praise and Worship	The Son, His Person and Work	His Lordship and Majesty
1	3	14	讚美和敬拜	聖子	祂的國度	Praise and Worship	The Son, His Person and Work	His Kingdom
1	3	15	讚美和敬拜	聖子	祂的配得	Praise and Worship	The Son, His Person and Work	His Worthiness
1	3	16	讚美和敬拜	聖子	祂的愛	Praise and Worship	The Son, His Person and Work	His Love
1	3	17	讚美和敬拜	聖子	祂的拯救	Praise and Worship	The Son, His Person and Work	His Salvation
1	3	18	讚美和敬拜	聖子	祂的甘甜	Praise and Worship	The Son, His Person and Work	His Sweetness
1	3	19	讚美和敬拜	聖子	祂的美麗	Praise and Worship	The Son, His Person and Work	His Beauty
1	3	20	讚美和敬拜	聖子	祂的降卑	Praise and Worship	The Son, His Person and Work	His Smallness
1	3	21	讚美和敬拜	聖子	祂的全備	Praise and Worship	The Son, His Person and Work	His All-inclusiveness
1	3	22	讚美和敬拜	聖子	祂作我們的祭物	Praise and Worship	The Son, His Person and Work	Our Peace Offering
