hymn	stanza	line	offset	pronoun	page	zh
1	3	4	6	祢	8	我們敬拜，因祢所是，
2	2	4	1	祢	9	使祢應許得成——
4	1	2	2	祢	11	我愛祢、敬拜祢，
4	1	2	6	祢	11	我愛祢、敬拜祢，
4	2	4	5	祢	11	神的愛子，祢何奇妙。
5	3	2	3	祢	11	我眞愛祢！
8	1-chorus	1	6	祢	14	“祢眞偉大！祢眞偉大！”
8	1-chorus	3	6	祢	14	“祢眞偉大！祢眞偉大！”
9	1	1	6	祢	15	我敬拜並尊崇祢，
10	1	5	5	祢	16	無它，乃是祢的大愛，
10	4	6	1	祢	16	向祢歌頌直到萬代。
14	1	2	0	祢	20	祢名所表一切慈仁，
14	3	3	0	祢	20	祢的大愛作我喜樂。
15	2	0	5	祢	21	我在罪中，祢愛來尋，
15	3	3	3	祢	21	都是因祢恩澤。
15	4	0	2	祢	21	神，祢這樣豐富的愛，
15	5	0	5	祢	21	哦父，但願祢今使我，
16	2	6	4	祢	22	我們今向祢拜禮。
19	1	3	5	祢	24	父阿，我愛祢！”
20	4	1	4	祢	26	同心歌頌祢奇愛，
22	1	3	0	祢	27	祢的憐憫像祢永遠不變。
22	1-chorus	3	0	祢	27	祢的信實極其廣大無邊！
22	3	1	0	祢	28	祢的同在所賜安撫、引導，
25	3	3	6	祢	30	父阿，我敬拜祢。
25	5	2	2	祢	30	頌揚祢愛永無疆：
26	1	7	1	祢	31	作祢至高對象。
26	2	3	1	祢	31	蒙祢生命之恩？
27	1	1	3	祢	32	因主到祢面前來；
27	2	2	1	祢	32	但祢的恩比罪更多，
27	2	7	1	祢	32	因祢恩典深無比。
27	3	2	0	祢	32	祢宰肥犢，祢使我們
27	3	2	5	祢	32	祢宰肥犢，祢使我們
27	3	5	3	祢	32	我們聽祢如此說：
27	4	1	1	祢	32	因祢慈愛眞希奇！
27	4	3	4	祢	32	也要希奇祢大恩。
27	4	5	1	祢	32	在祢座前來溫習：
29	2	4	3	祢	35	哦父，祢是何等慈愛，
29	2	7	2	祢	35	得與祢性情有分！
30	3	0	2	祢	36	哦，祢這萬福之源！
31	1	1	2	祢	37	來看祢的兒子，
31	1	3	3	祢	37	祂行完祢意思；
31	3	6	2	祢	37	父，祢愛子的受死，
31	4	3	2	祢	38	因知祢已眷顧；
32	1	0	7	祢	38	父阿，兒女稱頌祢名，
32	2	3	0	祢	38	祢在天上座位。
32	4	1	2	祢	38	顯明祢恩豐富，
35	2	1	2	祢	41	藉着祢恩；
35	2	2	2	祢	41	祂是祢愛所有獨一對象，
36	4	0	7	祢	42	父阿，我們跟隨祢的愛子，
36	4	3	4	祢	42	眾子嘗到祢名所有豐富。
37	1	3	5	祢	43	前來敬拜向祢讚美、歌謳。
37	2	1	0	祢	43	祢的愛子之名所有馨香；
37	3	1	7	祢	43	在祂裏面我心因祢歡暢；
37	4	1	4	祢	43	憑信看見祢愛所有對象；
39	3	5	0	祢	45	祢也定規我們與祂同儔。
42	1	0	0	祢	48	祢乃是那永活的道，
43	2	2	1	祢	49	“祢是我的主，”祂不斷向神提：
48	1	2	0	祢	55	祢名如同倒出香膏，
48	1	3	0	祢	55	祢名如同倒出香膏。
48	2	2	7	祢	55	所以眾童女都愛祢，
48	2	3	7	祢	55	所以眾童女都愛祢。
48	3	2	0	祢	55	祢的愛情比酒更美，
48	3	3	0	祢	55	祢的愛情比酒更美。
