number	en
1	God, our Father, we adore Thee!
2	Come, Thou Almighty King
3	Holy, Holy, Holy
4	Heavenly Father, I appreciate you
5	Father, I adore you
6	Praise God, from whom all blessings flow
7	Glory, glory to the Father!
8	How great Thou art
9	Glorify Thy name
10	What was it, blessed God
11	The love of God
12	Blessed be God, our God
13	Behold, what love
14	O God! we see Thee in the Lamb
15	All that we were—our sin, our guilt
16	Father, ’twas Thy love
17	My God, how wonderful Thou art
18	There’s a wideness in God’s mercy
19	Abba
20	Father, long before creation
21	The steadfast love of the Lord
22	Great is Thy faithfulness
23	We praise Thee, O God
24	To God be the glory
25	Gracious God, we worship Thee
26	We praise Thee, glorious Father
27	Abba, Father
28	We are never never weary of the grand old song
29	Abba, Father! we adore Thee
30	O gracious God, Thy pleasure
31	By Thee, O God, invited
32	Father, Thy name our souls would bless
33	Joyful, joyful, we adore Thee
34	We bless thee, God and Father
35	Our God and Father, we respond to Thee
36	Father, Thy Son beloved leads our praise
37	O God our Father, we would come to Thee
38	Our God and Father we respond anew
39	Father, to Thee a joyful song we raise
40	The spacious firmament on high
41	Thou art love and Thou art light
42	Thou art the everlasting Word
43	The living of Christ
44	O soul inspiring story—
45	Jesus! O what a name!
46	In the Name of Jesus
47	Lift that Name high!
48	Thy name is as ointment poured forth
49	The name of Jesus is so sweet
50	Thy name we love, Lord Jesus
51	All praise to Him who reigns on high
52	His name is higher
53	Join all the glorious names
54	Jesus, name above all names
55	Jesus! how much Thy name unfolds
56	How we love the glorious name
57	How sweet the Name of Jesus sounds
58	Jesus! that name we love
59	Glorious, mighty Name of Jesus
60	Jesus, the name high over all
61	Name of Jesus! highest Name!
62	Praise the name of Jesus
63	Jesus! sweetest name on earth
64	The sweetest name of all
65	There is no name so sweet on earth
66	Jesus is the sweetest name I know
67	Joy to the world!
68	Down from His glory
69	Meekness and majesty
70	O come, all ye faithful
71	Hark! the herald angels sing
72	That’s why I call on Him
73	O Lord! When we the path retrace
74	How beauteous were the marks divine
75	Lord, accept our feeble song!
76	Jesus! Source of life eternal!
77	When I survey the wondrous cross
78	O Head once full of bruises
79	O Christ, what burdens bow’d Thy head
80	Lord, we treasure with affection
81	Oh, hallelujah, what a death
82	Lamb of God so pure and spotless
83	Behold! a spotless Victim dies
84	God was born a human being
85	Crowned with thorns upon the tree
86	Himself He could not save
87	On Calvary’s brow
88	Behold the Lamb of God
89	Alas! and did my Savior bleed?
90	No blood, no altar now
91	Hallelujah! what a Savior!
92	O solemn hour!
93	Jesus, the sinner’s Friend
94	Sound His praise!
95	Not all the blood of beasts
96	Hail, Thou once despised Jesus!
97	How pleasant is the sound of praise!
98	Hark! the voice of love
99	Thine be the glory
100	The Lord is ris’n
101	Up from the grave he arose
102	Christ the Lord is ris’n indeed
103	Thou, Lord, to death’s domain
104	Christ is risen! Hallelujah!
105	His be the Victor’s name
106	Hallelujah! sing to Jesus
107	The veil is rent
108	Our hearts are overflowing
109	The queen in gold of Ophir
110	The Lord said unto my Lord
111	O Lord, our Lord, how excellent
112	God shall rise, His foes be scattered
113	O Jesus, Lord ’tis joy to know
114	Far above all is our Savior enthroned
115	Behold the Lamb with glory crowned
116	See the Conqu’ror mount in triumph
117	Hark! Ten thousand voices crying
118	At Your feet we fall
119	O my Savior, glorified!
120	Lord of glory, we adore Thee!
121	Gazing on the Lord in glory
122	All hail the pow’r of Jesus’ name!
123	All hail the pow’r of Jesus’ name!
124	Crown Him with many crowns
125	Jesus, Thy head, once crown’d with thorns
126	Look, ye saints, the sight is glorious
127	He is Lord
128	Majesty
129	Jesus, Thou alone art worthy
130	O blessed Savior, Son of God!
131	Jesus shall reign where’er the sun
132	Hark! Ten thousand heav’nly voices
133	Rejoice, the Lord is King
134	Lord, Thy love has sought and found us
135	Eternal love
136	Oh, the deep, deep love of Jesus
137	I stand all amazed at the
138	I stand amazed in the presence
139	O blessed Savior, is Thy love
140	I have a Friend, whose faithful love
141	Lord Jesus, are we one with Thee?
142	It passeth knowledge
143	Majestic sweetness sits enthroned
144	Lead me to Calvary
145	With praise and thanksgiving
146	O for a thousand tongues to sing
147	Jesus, wondrous Savior!
148	Fairest Lord Jesus!
149	Our hearts are full of Christ
150	Lord Jesus! when we think of Thee
151	O Christ, He is the fountain
152	Glory to Christ on high!
153	Worthy the Lamb
154	Praise the Lamb, for He is worthy!
155	Lord, Thou art worthy
156	Come, let us join our cheerful songs
157	Glory be to Him who loved us
158	We come, O Christ, to Thee
159	Jesus only is our message
160	Gathered in Thy name
161	How small Thou art
162	Lord, Thou art our peace
163	Praise Him! praise Him!
164	In my life, Lord, be glorified
165	Lamb of God! our souls adore Thee
166	O come, let us adore Him
167	Ten thousand thanks to Jesus
168	Blessing and honor and glory be Thine
169	When morning gilds the skies
170	I love You, Lord
171	The Comforter has come!
172	Speak to the Rock
173	Blessed quietness
174	Rivers of living water
175	There’s a river of life
176	O Lord, breathe Thy Spirit on me
177	Praise waiteth Thee in Zion’s
178	’Tis burning in my soul
179	He’s the wonderful Spirit in us
180	Spirit of the Living God
181	Spirit song
182	Fill me, Lord!
183	Praise the Lord, who firmly joined us
184	The Holy Spirit is the seal
185	Lord, may Thy blood now cleanse me
186	Come, O seven Spirits, come
187	O Breath of Life, come sweeping through us
188	Of the Spirit, born of Spirit—
189	Come to the house of God
190	Lord, when the Father ne’er was known
191	In all thy work, O Lord
192	Lord, Thou didst know when in the flesh
193	Oh, Jesus, Lord, when Thou on earth
194	We’ve come to love the Bible
195	Oh, how we love the precious Word!
196	Oh, how I love this blessed Book!
197	Speak, Lord, in the stillness
198	Lord, hast Thou not one word for me
199	Open my eyes
200	Master, speak! Thy servant heareth
201	Break Thou the Bread of Life
202	Thy Word is like a store-house
203	We limit not the truth of God
204	Jesus is longing for His Bride
205	Teach us to pray
206	Christian, seek not yet repose
207	In the mighty Name of Jesus
208	Ask in faith
209	I must tell Jesus all of my trials
210	What a Friend we have in Jesus
211	In the secret of His presence
212	Sitting at the feet of Jesus
213	Keep the incense burning
214	Oh, stir me, Lord
215	Father, let Thy kingdom come
216	All heaven waits
217	Revive Thy work, O Lord!
218	Sweet hour of prayer
219	Come away”?
220	The Church’s one foundation
221	Church of God, beloved and chosen
222	On Christ, salvation rests secure
223	Oh, what a might!
224	Father God, Thou art the source of life
225	Let party names no more
226	Christ is not divided
227	Glorious church life
228	Behold how good a thing
229	Splendid church life!
230	Christ, from whom all blessings flow
231	How sweet, how heav’nly is the sight
232	Blest be the tie
233	All praise to our redeeming Lord
234	Welcome to the family
235	Lord, to know Thee as the Body
236	I love Thy kingdom, Lord
237	Hallelujah for the Body!
238	Oh, what a miracle
239	Walk about Zion
240	We only care for Christ!
241	This is the time for building
242	Recall how David swore
243	See the golden lampstands
244	The churches are the Body
245	In Revelation chapter one
246	In Revelation two and three
247	Philadelphia, church of love
248	Oh, the Lord is quickly coming
249	Till we meet
250	Around Thy grave
251	Buried, in symbol
252	We gather together
253	Oh, how glorious is Thy table
254	There is one Body in this universe
255	According to Thy gracious word
256	Jesus spreads His banner o’er us
257	Jesus, Lord, we know Thee present
258	On that same night, Lord Jesus
259	Sweet feast of love divine!
260	Here, O my Lord, I see Thee face to face
261	We give Thee thanks, O Lord
262	The Servant King
263	Make me a servant
264	We dwell with the King in His work
265	O Master, let me walk with Thee
266	Servant of all
267	Lord, speak to me
268	Shine Thou upon us, Lord
269	Channels only, blessed Master
270	Flow through me, Lord
271	In the wilderness for God!
272	Work, for the Day is coming
273	Go labor on
274	Come let us anew
275	Not where we elect to go
276	Showers of blessing
277	O perfect love
278	O God of love to Thee we bow
279	Touch the hem of His garment
280	He healeth me
281	I’ve found a Friend
282	Loved with everlasting love
283	Come and rejoice with me!
284	Sweeter as the years go by
285	Now I belong to Jesus
286	I am amazed that God could ever love me
287	I am so glad that Jesus loves me
288	No one ever cared for me like Jesus
289	Cleansed in our Savior’s precious Blood
290	And can it be
291	On the Lamb our souls are resting
292	Precious Savior, Thou hast saved me
293	I love Him, because He first loved me
294	Jesus, Thy blood and righteousness
295	On Christ, the solid Rock I stand
296	My hope is in the Lord
297	Propitiation made by the blood
298	Arise, my soul, arise!
299	A mind at perfect peace with God
300	Redeemed by the blood of the Lamb
301	I have a song I love to sing
302	I will sing of my Redeemer
303	O Jesus Lord, we come to Thee
304	Blessed assurance
305	Since Jesus came into my heart!
306	What a happy day
307	Rolled away
308	O happy day
309	Glorious freedom
310	Only a sinner saved by grace!
311	All sufficient grace!
312	Dear Savior, Thou art mine
313	Saved, saved, saved!
314	It took a miracle
315	From sinking sand He lifted me
316	Wonderful grace of Jesus
317	Amazing grace!
318	He is so precious to me
319	Come, Thou Fount
320	Years I spent in vanity and pride
321	Full salvation!
322	Drinking at the Fountain that never runs dry
323	I heard the voice of Jesus say
324	I am dwelling in Beulah Land
325	Constantly abiding
326	All my life long I had panted
327	Where Jesus is, ’tis heaven there
328	He keeps me singing
329	In my heart there rings a melody
330	We’re marching to Zion
331	I’m not ashamed to own my Lord
332	There is sunshine in my soul
333	All that thrills my soul
334	I’d rather have Jesus
335	Before the throne of God above
336	Complete in Thee!
337	I need no other argument
338	Leaning on the Everlasting Arms!
339	I know Whom I have believed
340	We have an anchor that keeps the soul
341	I hear the words of love
342	He hideth my soul
343	I’ll sing the wondrous story
344	Wounded for me
345	How firm a foundation
346	Standing on the promises of God
347	It is well with my soul!
348	Thy mighty love
349	Let me love Thee
350	O Jesus, Jesus, dearest Lord!
351	How can I help but love Him
352	No love of mine
353	Jesus Thine all victorious love
354	Lord Jesus, I love Thee
355	Jesus, Lord, you’re our first love
356	Oh, how I love Jesus
357	Oh, who’s like our Jesus?
358	More love to Thee
359	In moments like these
360	As the deer
361	As pants the hart for cooling streams
362	My goal is God Himself
363	I need Jesus
364	Jesus, Thou Joy of loving hearts
365	Love Divine, all loves excelling
366	O Light of light, shine in!
367	He died for me that I might live
368	Be Thou supreme, O Jesus Christ
369	Abide with me!
370	Nothing between my soul and the Savior
371	I need Thee ev’ry hour
372	Fill Thou my life
373	Nothing between
374	I hunger and I thirst
375	Lead me higher up the mountain
376	O Bread to pilgrims given
377	O God, we seek Your pleasure
378	Fill all my vision
379	O Father of glory, now grant unto me
380	A charge to keep I have—
381	Lord Jesus, Thou who only art
382	More, more about Jesus
383	Lord Jesus, I long in Thy presence to live
384	Let the beauty of Jesus be seen in me
385	Nearer, still nearer
386	My Jesus, as Thou wilt!
387	Savior, lead me, lest I stray
388	Close to Thee
389	Just a closer walk with Thee
390	I am Thine, O Lord
391	Jesus, Savior, pilot me
392	O Jesus Christ, grow Thou in me
393	Lord Jesus, grow in us
394	Not my will
395	Higher ground
396	More holiness give me
397	O to be like Thee!
398	Live Thyself, Lord Jesus, through me
399	Having seen the world’s fair beauty
400	Teach me Thy way
401	Whiter than snow
402	Search me, O God, my actions try
403	Oh, for a heart to praise my God
404	Blessed are the pure in heart
405	Lord, reveal Thyself to me
406	Lord, Thou knowest all the hunger
407	Lower and lower at Thy feet
408	Jesus, cast a look on me
409	Thou hidden love of God
410	Jesus, Redeemer and my one Inspirer
411	My faith looks up to Thee
412	O Love divine, how sweet Thou art
413	Gracious Spirit
414	O Lord, Thy boundless love to me
415	Search me, O God
416	Lord, the light of Your love
417	Prince of peace, control my will
418	When I am in the natural man
419	I am the Lord’s
420	How vast, immense, and measureless
421	O Love, that wilt not let me go
422	Lord, Thou hast won
423	Thy life was giv’n for me
424	Hast thou heard Him, seen Him, known Him?
425	I surrender all
426	All on the altar
427	Take my life, and let it be
428	What shall I give Thee, Master?
429	Have Thine own way
430	I am not my own
431	When this passing world is done
432	Sweet will of God
433	All for Jesus!
434	Utterly abandoned
435	Make me a captive
436	I’ve turned my back upon the world
437	Follow! follow! I would follow Jesus!
438	How shall I follow Him I serve?
439	Living for Jesus
440	My glorious Victor, Prince Divine
441	Jesus, I my cross have taken
442	I have decided to follow Jesus
443	No mortal tongue can e’er
444	Many crowd the Savior’s kingdom
445	Am I a soldier of the Cross—
446	Who is on the Lord’s side?
447	I am one with Thee, Lord Jesus
448	One with Thee, Thou Son eternal
449	Moment by moment
450	Buried with Christ
451	Lord, Thou hast shown the mystery
452	Made free! Made free! O captive!
453	Beautiful
454	Lord, I was blind
455	His banner over me is love
456	Nothing’s quite so precious
457	Dear Lord Jesus, precious Jesus
458	Still sweeter every day
459	Jesus, the very thought of Thee
460	I cannot breathe enough of Thee
461	Jesus, my Savior! Thou art mine
462	In the Testament of old
463	What a victory! What a triumph!
464	Power, power, resurrection power
465	Christ is now in resurrection
466	And can it be that “He loved me
467	He lives
468	Christ liveth in me
469	Art thou hung’ring for the
470	There’s a Man in the glory
471	Christ in me
472	Sing praise to Christ Who lives in us
473	Never thirst again
474	The tree of life
475	All in all forever
476	Christ is reality
477	My old person has been nullified
478	Lord, Thou art our Person
479	My old man has been crucified with Him
480	O Lord, O Lord, You are the man for me!
481	My heart is fixed
482	Fade, fade each earthly joy
483	Jesus for me
484	Christ for me!
485	I’ve found the One of peerless worth
486	I take Thee, Lord, to be my all
487	Now none but Christ can satisfy
488	Jesus is all the world to me
489	Lord, Thou hast made Thyself to me
490	The Lord’s my Shepherd
491	His sheep am I
492	Surely goodness and mercy
493	The King of love my Shepherd is
494	Laboring on Jesus, the good land so real
495	Jesus, the all-inclusive land
496	How tedious and tasteless the hours
497	Within the Veil
498	Inside the veil, outside the camp
499	Marvel not that Christ in glory
500	I have passed the riven veil
501	I have a Friend so precious
502	Touching Thee
503	Thou art the Vine, I am a branch
504	Abide in Thee!
505	You are the vine
506	He’s the vine and we’re the branches
507	Abiding in the vine
508	Under His wings
509	I’m abiding in the Lord
510	A shelter in the time of storm
511	Hiding in Thee
512	’Tis so sweet to trust in Jesus
513	Trusting Jesus, that is all
514	It is so sweet to trust Thee
515	I know that my Redeemer lives
516	I take Thy promise, Lord
517	All things are possible to God
518	Jesus! I am resting, resting
519	My will is weak, my strength is frail
520	On Thee my heart is resting
521	Trust and obey
