segment,start_page,end_page
0,1,7
1,8,8
2,9,9
3,10,10
4,11,11
5,11,11
6,12,12
7,12,12
8,13,14
9,15,15
10,15,16
11,17,18
12,18,18
13,19,20
14,20,20
15,21,21
16,22,22
17,23,23
18,23,24
19,24,24
20,25,26
21,26,26
22,27,28
23,28,28
24,29,30
25,30,30
26,31,31
27,32,32
28,33,34
29,35,35
30,36,36
31,37,38
32,38,38
33,39,39
34,40,40
35,41,41
36,42,42
37,43,43
38,44,44
39,45,45
40,46,46
41,47,47
42,48,48
43,49,49
44,50,50
45,51,52
46,53,54
47,54,54
48,55,55
49,56,56
50,57,58
51,58,58
52,59,59
53,60,60
54,61,61
55,61,61
56,62,62
57,63,64
58,64,64
59,65,65
60,65,66
61,66,66
62,67,67
63,67,68
64,68,68
65,69,69
66,70,70
67,71,71
68,72,72
69,73,73
70,73,74
71,75,76
72,77,78
73,78,78
74,79,79
75,80,80
76,81,82
77,82,82
78,83,83
79,84,84
80,85,85
81,86,86
82,87,88
83,88,88
84,89,90
85,90,90
86,91,91
87,92,92
88,93,94
89,94,94
90,95,96
91,96,96
92,97,98
93,98,98
94,99,100
95,100,100
96,101,102
97,102,102
98,103,103
99,104,104
100,105,105
101,106,106
102,107,108
103,108,108
104,109,110
105,110,110
106,111,112
107,112,112
108,113,113
109,114,114
110,115,115
111,116,116
112,117,118
113,118,118
114,119,120
115,120,120
116,121,122
117,122,122
118,123,123
119,123,124
120,125,125
121,126,126
122,127,128
123,128,128
124,129,130
125,130,130
126,131,132
127,132,132
128,133,134
129,134,134
130,135,135
131,136,136
132,137,138
133,138,138
134,139,140
135,140,140
136,141,141
137,142,142
138,143,143
139,144,144
140,145,146
141,146,146
142,147,148
143,148,148
144,149,149
145,150,150
146,151,152
147,153,153
148,154,154
149,155,155
150,156,156
151,157,157
152,158,158
153,159,159
154,160,160
155,161,161
156,162,162
157,163,163
158,164,164
159,165,166
160,166,166
161,167,168
162,169,170
163,171,172
164,172,172
165,173,174
166,174,174
167,175,176
168,176,176
169,177,178
170,178,178
171,179,180
172,181,182
173,183,183
174,184,184
175,185,186
176,187,188
177,188,188
178,189,190
179,191,192
180,192,192
181,193,194
182,195,195
183,196,196
184,197,197
185,197,198
186,199,200
187,200,200
188,201,201
189,202,202
190,203,203
191,204,204
192,205,205
193,206,206
194,207,207
195,208,208
196,209,209
197,209,210
198,210,210
199,211,211
200,212,212
201,213,213
202,214,214
203,215,216
204,216,216
205,217,217
206,217,218
207,218,218
208,219,219
209,219,220
210,221,221
211,222,222
212,223,223
213,224,224
214,225,226
215,227,227
216,228,228
217,229,230
218,231,232
219,232,232
220,233,233
221,234,234
222,235,235
223,235,236
224,237,237
225,238,238
226,239,240
227,241,241
228,242,242
229,243,244
230,244,244
231,245,245
232,245,246
233,246,246
234,247,248
235,249,250
236,250,250
237,251,252
238,253,253
239,253,254
240,255,256
241,257,257
242,258,258
243,259,260
244,261,262
245,262,262
246,263,264
247,265,266
248,267,267
249,268,268
250,269,270
251,270,270
252,271,271
253,272,272
254,273,274
255,274,274
256,275,275
257,276,276
258,277,277
259,278,278
260,279,279
261,280,280
262,280,280
263,281,281
264,281,282
265,282,282
266,283,283
267,283,284
268,285,285
269,286,286
270,287,288
271,288,288
272,289,290
273,290,290
274,291,292
275,292,292
276,293,293
277,294,294
278,295,295
279,296,296
280,297,297
281,298,298
282,299,300
283,300,300
284,301,302
285,302,302
286,303,303
287,304,304
288,305,306
289,306,306
290,307,308
291,308,308
292,309,309
293,310,310
294,311,311
295,312,312
296,313,313
297,314,314
298,315,316
299,316,316
300,317,317
301,318,318
302,319,320
303,321,321
304,322,322
305,323,324
306,324,324
307,325,326
308,327,327
309,328,328
310,329,329
311,330,330
312,331,331
313,332,332
314,333,333
315,334,334
316,335,336
317,336,336
318,337,338
319,338,338
320,339,339
321,340,340
322,341,341
323,342,342
324,343,344
325,345,346
326,347,347
327,348,348
328,349,349
329,350,350
330,351,352
331,352,352
332,353,353
333,354,354
334,355,355
335,356,356
336,357,357
337,358,358
338,359,359
339,360,360
340,361,361
341,362,362
342,363,363
343,364,364
344,365,365
345,366,366
346,367,368
347,369,369
348,370,370
349,371,372
350,373,373
351,374,374
352,375,375
353,375,376
354,376,376
355,377,378
356,378,378
357,379,379
358,380,380
359,381,382
360,383,383
361,383,384
362,385,385
363,386,386
364,387,387
365,387,388
366,389,389
367,390,390
368,391,391
369,392,392
370,393,393
371,394,394
372,395,395
373,395,396
374,396,396
375,397,397
376,398,398
377,399,400
378,400,400
379,401,401
380,402,402
381,403,403
382,404,404
383,405,406
384,406,406
385,407,407
386,408,408
387,409,409
388,410,410
389,411,411
390,412,412
391,413,413
392,414,414
393,415,416
394,416,416
395,417,417
396,418,418
397,419,419
398,420,420
399,421,421
400,422,422
401,423,423
402,424,424
403,425,425
404,425,425
405,426,426
406,427,427
407,427,428
408,429,429
409,430,430
410,431,431
411,432,432
412,433,433
413,434,434
414,435,435
415,436,436
416,437,437
417,437,438
418,439,439
419,440,440
420,441,441
421,442,442
422,443,443
423,444,444
424,445,445
425,446,446
426,447,448
427,448,448
428,449,450
429,450,450
430,451,452
431,452,452
432,453,453
433,454,454
434,455,456
435,456,456
436,457,458
437,459,460
438,460,460
439,461,462
440,462,462
441,463,463
442,464,464
443,465,465
444,466,466
445,467,467
446,468,468
447,469,469
448,470,470
449,471,471
450,472,472
451,473,473
452,474,474
453,475,475
454,475,475
455,476,476
456,477,477
457,478,478
458,479,480
459,480,480
460,481,481
461,482,482
462,483,483
463,484,484
464,485,486
465,487,488
466,488,488
467,489,490
468,490,490
469,491,491
470,492,492
471,493,493
472,494,494
473,495,496
474,496,496
475,497,498
476,499,500
477,501,502
478,503,504
479,505,505
480,506,506
481,507,507
482,508,508
483,509,509
484,510,510
485,511,511
486,512,512
487,513,513
488,514,514
489,515,515
490,515,516
491,516,516
492,517,518
493,518,518
494,519,520
495,521,522
496,523,523
497,524,524
498,525,525
499,526,526
500,527,528
501,529,530
502,530,530
503,531,531
504,532,532
505,533,533
506,534,534
507,535,535
508,536,536
509,537,538
510,539,539
511,540,540
512,541,541
513,542,542
514,543,544
